NAME_1,statefs
Andhra Pradesh,0.423156411
Assam,0.434547116
Bihar,0.467391206
Chandigarh,0.396424712
Chhattisgarh,0.385520037
Delhi,0.463467894
Goa,0.615015038
Gujarat,0.482982336
Haryana,0.418170526
Himachal Pradesh,0.452467508
Jammu and Kashmir,0.496872112
Jharkhand,0.457013003
Karnataka,0.385307416
Kerala,0.454292105
Madhya Pradesh,0.438462921
Maharashtra,0.434980956
Meghalaya,0.414069197
Orissa,0.430202028
Puducherry,0.417955479
Punjab,0.415382162
Rajasthan,0.435527013
Sikkim,0.537363363
Tamil Nadu,0.41989016
Telangana,0.432407642
Tripura,0.457107566
Uttar Pradesh,0.477395638
Uttaranchal,0.268577214
West Bengal,0.55198494
